t,<H_sys>,P_1,P_2
0,1.871760e-02,0,0
2000,1.871735e-02,3.014499e-13,7.740879e-06
4000,1.871625e-02,7.752462e-13,1.990592e-05
6000,1.871516e-02,1.389241e-12,3.564423e-05
8000,1.871406e-02,2.102206e-12,5.384244e-05
10000,1.871297e-02,2.885294e-12,7.366407e-05
12000,1.871186e-02,3.733762e-12,9.487945e-05
14000,1.871075e-02,4.669603e-12,1.179443e-04
16000,1.870964e-02,5.733212e-12,1.437959e-04
18000,1.870852e-02,6.967534e-12,1.734516e-04
20000,1.870739e-02,8.402589e-12,2.075765e-04
22000,1.870625e-02,1.004538e-11,2.461982e-04
24000,1.870512e-02,1.188118e-11,2.886858e-04
26000,1.870401e-02,1.388373e-11,3.339996e-04
28000,1.870292e-02,1.603207e-11,3.811086e-04
30000,1.870184e-02,1.832655e-11,4.294021e-04
32000,1.870079e-02,2.079682e-11,4.789276e-04
34000,1.869973e-02,2.350038e-11,5.303573e-04
36000,1.869866e-02,2.651049e-11,5.846986e-04
38000,1.869757e-02,2.990153e-11,6.428685e-04
40000,1.869647e-02,3.373424e-11,7.053062e-04
42000,1.869535e-02,3.805140e-11,7.717827e-04
44000,1.869422e-02,4.288369e-11,8.414866e-04
46000,1.869309e-02,4.826405e-11,9.133476e-04
48000,1.869197e-02,5.424561e-11,9.864656e-04
50000,1.869085e-02,6.091513e-11,1.060468e-03
52000,1.868975e-02,6.839861e-11,1.135648e-03
54000,1.868866e-02,7.685454e-11,1.212831e-03
56000,1.868759e-02,8.646039e-11,1.293021e-03
58000,1.868652e-02,9.739802e-11,1.376977e-03
60000,1.868546e-02,1.098426e-10,1.464895e-03
62000,1.868440e-02,1.239632e-10,1.556318e-03
64000,1.868333e-02,1.399321e-10,1.650320e-03
66000,1.868225e-02,1.579436e-10,1.745878e-03
68000,1.868117e-02,1.782301e-10,1.842281e-03
70000,1.868008e-02,2.010737e-10,1.939414e-03
72000,1.867900e-02,2.268083e-10,2.037789e-03
74000,1.867791e-02,2.558100e-10,2.138319e-03
76000,1.867683e-02,2.884832e-10,2.241935e-03
78000,1.867574e-02,3.252468e-10,2.349192e-03
80000,1.867465e-02,3.665290e-10,2.460034e-03
82000,1.867357e-02,4.127701e-10,2.573809e-03
84000,1.867249e-02,4.644361e-10,2.689533e-03
86000,1.867142e-02,5.220376e-10,2.806285e-03
88000,1.867036e-02,5.861451e-10,2.923575e-03
90000,1.866931e-02,6.573973e-10,3.041536e-03
92000,1.866826e-02,7.364991e-10,3.160857e-03
94000,1.866721e-02,8.242122e-10,3.282485e-03
96000,1.866616e-02,9.213405e-10,3.407229e-03
98000,1.866511e-02,1.028719e-09,3.535417e-03
100000,1.866407e-02,1.147214e-09,3.666758e-03
102000,1.866302e-02,1.277729e-09,3.800455e-03
104000,1.866197e-02,1.421219e-09,3.935524e-03
106000,1.866092e-02,1.578711e-09,4.071199e-03
108000,1.865986e-02,1.751318e-09,4.207228e-03
110000,1.865880e-02,1.940239e-09,4.343972e-03
112000,1.865774e-02,2.146759e-09,4.482242e-03
114000,1.865668e-02,2.372233e-09,4.622951e-03
116000,1.865562e-02,2.618078e-09,4.766737e-03
118000,1.865458e-02,2.885764e-09,4.913688e-03
120000,1.865354e-02,3.176816e-09,5.063303e-03
122000,1.865251e-02,3.492824e-09,5.214692e-03
124000,1.865149e-02,3.835466e-09,5.366937e-03
126000,1.865049e-02,4.206517e-09,5.519463e-03
128000,1.864949e-02,4.607862e-09,5.672262e-03
130000,1.864848e-02,5.041498e-09,5.825892e-03
132000,1.864747e-02,5.509522e-09,5.981233e-03
134000,1.864645e-02,6.014122e-09,6.139119e-03
136000,1.864541e-02,6.557567e-09,6.299987e-03
138000,1.864436e-02,7.142203e-09,6.463691e-03
140000,1.864331e-02,7.770460e-09,6.629555e-03
142000,1.864227e-02,8.444867e-09,6.796649e-03
144000,1.864125e-02,9.168067e-09,6.964162e-03
146000,1.864024e-02,9.942831e-09,7.131728e-03
148000,1.863924e-02,1.077207e-08,7.299568e-03
150000,1.863826e-02,1.165882e-08,7.468389e-03
152000,1.863728e-02,1.260624e-08,7.639085e-03
154000,1.863629e-02,1.361761e-08,7.812363e-03
156000,1.863530e-02,1.469629e-08,7.988445e-03
158000,1.863430e-02,1.584577e-08,8.166977e-03
160000,1.863330e-02,1.706963e-08,8.347170e-03
162000,1.863230e-02,1.837158e-08,8.528115e-03
164000,1.863129e-02,1.975550e-08,8.709154e-03
166000,1.863028e-02,2.122540e-08,8.890141e-03
168000,1.862928e-02,2.278547e-08,9.071490e-03
170000,1.862829e-02,2.444003e-08,9.254000e-03
172000,1.862731e-02,2.619355e-08,9.438514e-03
174000,1.862633e-02,2.805064e-08,9.625567e-03
176000,1.862535e-02,3.001602e-08,9.815166e-03
178000,1.862438e-02,3.209456e-08,1.000678e-02
180000,1.862340e-02,3.429124e-08,1.019955e-02
182000,1.862243e-02,3.661122e-08,1.039265e-02
184000,1.862146e-02,3.905983e-08,1.058562e-02
186000,1.862049e-02,4.164259e-08,1.077853e-02
188000,1.861953e-02,4.436516e-08,1.097196e-02
190000,1.861856e-02,4.723343e-08,1.116674e-02
192000,1.861759e-02,5.025340e-08,1.136362e-02
194000,1.861662e-02,5.343124e-08,1.156293e-02
196000,1.861565e-02,5.677327e-08,1.176447e-02
198000,1.861468e-02,6.028596e-08,1.196757e-02
200000,1.861371e-02,6.397594e-08,1.217136e-02
202000,1.861275e-02,6.785004e-08,1.237514e-02
204000,1.861180e-02,7.191528e-08,1.257864e-02
206000,1.861084e-02,7.617887e-08,1.278215e-02
208000,1.860989e-02,8.064823e-08,1.298636e-02
210000,1.860895e-02,8.533097e-08,1.319210e-02
212000,1.860800e-02,9.023486e-08,1.339996e-02
214000,1.860706e-02,9.536784e-08,1.361009e-02
216000,1.860612e-02,1.007380e-07,1.382207e-02
218000,1.860518e-02,1.063537e-07,1.403516e-02
220000,1.860425e-02,1.122234e-07,1.424852e-02
222000,1.860332e-02,1.183557e-07,1.446163e-02
224000,1.860238e-02,1.247597e-07,1.467442e-02
226000,1.860144e-02,1.314443e-07,1.488735e-02
228000,1.860049e-02,1.384190e-07,1.510119e-02
230000,1.859955e-02,1.456932e-07,1.531670e-02
232000,1.859860e-02,1.532768e-07,1.553430e-02
234000,1.859765e-02,1.611795e-07,1.575392e-02
236000,1.859671e-02,1.694115e-07,1.597499e-02
238000,1.859577e-02,1.779831e-07,1.619672e-02
240000,1.859485e-02,1.869047e-07,1.641837e-02
242000,1.859395e-02,1.961872e-07,1.663958e-02
244000,1.859305e-02,2.058414e-07,1.686051e-02
246000,1.859216e-02,2.158785e-07,1.708176e-02
248000,1.859126e-02,2.263100e-07,1.730412e-02
250000,1.859035e-02,2.371475e-07,1.752824e-02
252000,1.858943e-02,2.484028e-07,1.775436e-02
254000,1.858850e-02,2.600878e-07,1.798222e-02
256000,1.858756e-02,2.722148e-07,1.821113e-02
258000,1.858662e-02,2.847962e-07,1.844029e-02
260000,1.858569e-02,2.978447e-07,1.866911e-02
262000,1.858477e-02,3.113732e-07,1.889740e-02
264000,1.858386e-02,3.253947e-07,1.912551e-02
266000,1.858296e-02,3.399227e-07,1.935413e-02
268000,1.858207e-02,3.549708e-07,1.958402e-02
270000,1.858118e-02,3.705528e-07,1.981568e-02
272000,1.858029e-02,3.866827e-07,2.004917e-02
274000,1.857940e-02,4.033746e-07,2.028405e-02
276000,1.857851e-02,4.206431e-07,2.051960e-02
278000,1.857761e-02,4.385027e-07,2.075505e-02
280000,1.857671e-02,4.569685e-07,2.098998e-02
282000,1.857581e-02,4.760555e-07,2.122440e-02
284000,1.857491e-02,4.957792e-07,2.145880e-02
286000,1.857402e-02,5.161551e-07,2.169392e-02
288000,1.857312e-02,5.371992e-07,2.193042e-02
290000,1.857222e-02,5.589275e-07,2.216866e-02
292000,1.857132e-02,5.813563e-07,2.240848e-02
294000,1.857043e-02,6.045021e-07,2.264934e-02
296000,1.856954e-02,6.283816e-07,2.289047e-02
298000,1.856865e-02,6.530117e-07,2.313122e-02
300000,1.856777e-02,6.784098e-07,2.337134e-02
302000,1.856690e-02,7.045932e-07,2.361103e-02
304000,1.856602e-02,7.315796e-07,2.385089e-02
306000,1.856515e-02,7.593870e-07,2.409165e-02
308000,1.856428e-02,7.880336e-07,2.433388e-02
310000,1.856340e-02,8.175376e-07,2.457773e-02
